Name,one,two,thr,for,fiv,six,sev,etg,nin,ten,ele,twe,thi,fro,fif,sit
L1_Mu3er1p5_Jet100er2p5_ETMHF40,1.1,2.5,2.2,55.7%,-10.6%,-104.2%,1.8,2.0,12.6%,1088,2458,2222,1510,1791,2017
L1_Mu3er1p5_Jet100er2p5_ETMHF50,0.8,1.8,1.7,54.2%,-11.4%,-95.8%,1.6,1.4,-12.5%,843,1839,1651,1102,1628,1424
L1_Mu6_HTT240er,0.8,3.1,2.4,74.7%,-30.8%,-201.8%,1.0,2.3,130.8%,780,3077,2353,1715,977,2255
L1_Mu6_HTT250er,0.7,2.5,2.0,73.1%,-26.5%,-194.3%,1.0,2.0,106.5%,664,2474,1955,1347,977,2017
L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1.0,2.0,1.9,52.8%,-6.1%,-99.6%,1.1,1.9,66.6%,953,2018,1902,1592,1140,1899
L1_Mu12er2p3_Jet40er2p1_dR_Max0p4_DoubleJet40er2p1_dEta_Max1p6,0.9,1.9,1.8,51.1%,-6.9%,-91.2%,1.1,1.9,66.6%,932,1905,1782,1592,1140,1899
L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8,0.1,0.1,0.0,-7.4%,-253.3%,73.6%,0.0,0.0,-,87,81,23,204,0,0
L1_DoubleMu3_dR_Max1p6_Jet90er2p5_dR_Max0p8,0.1,0.0,0.0,-310.1%,-169.1%,90.9%,0.0,0.0,-,67,16,6,82,0,0
L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5,0.4,1.6,1.3,74.4%,-31.4%,-197.6%,1.0,1.3,33.6%,420,1644,1251,531,977,1305
L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5,0.4,0.9,0.6,62.1%,-44.6%,-82.2%,1.0,0.7,-27.1%,352,928,642,449,977,712
L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5,0.2,0.5,0.3,56.1%,-76.0%,-29.3%,0.5,0.2,-51.4%,207,472,268,408,488,237
L1_DoubleMu3_SQ_HTT220er,0.2,0.8,0.5,75.0%,-59.8%,-150.6%,0.0,0.6,-,211,846,530,367,0,593
L1_DoubleMu3_SQ_HTT240er,0.1,0.7,0.4,78.4%,-65.1%,-181.1%,0.0,0.5,-,144,667,404,286,0,475
L1_DoubleMu3_SQ_HTT260er,0.1,0.5,0.3,74.5%,-61.9%,-142.6%,0.0,0.5,-,116,456,282,245,0,475
L1_SingleEG36er2p5,11.9,14.1,13.6,15.7%,-3.6%,-14.4%,14.3,13.5,-5.6%,11887,14097,13603,14696,14328,13528
L1_SingleEG38er2p5,10.0,11.4,11.1,12.3%,-2.1%,-11.8%,12.2,10.3,-15.5%,9959,11362,11133,12533,12211,10324
L1_SingleEG40er2p5,8.3,9.3,9.0,10.5%,-4.0%,-7.4%,10.4,8.0,-23.7%,8336,9311,8953,10532,10420,7950
L1_SingleEG42er2p5,7.1,7.6,7.5,7.3%,-1.9%,-5.8%,8.8,6.5,-25.8%,7064,7618,7475,9022,8792,6526
L1_SingleEG45er2p5,5.5,5.9,5.8,6.2%,-1.8%,-4.7%,6.7,5.0,-25.3%,5514,5876,5775,7470,6676,4984
L1_SingleEG60,2.9,3.0,2.8,2.6%,-6.7%,3.8%,4.2,2.0,-52.3%,2886,2963,2778,3919,4233,2017
L1_SingleLooseIsoEG28er2p5,23.9,22.9,22.9,-4.2%,0.0%,4.0%,24.6,24.6,-0.1%,23861,22903,22909,29964,24586,24563
L1_SingleLooseIsoEG28er2p1,17.2,16.0,15.9,-7.4%,-0.6%,7.4%,17.7,18.0,1.6%,17168,15985,15891,20779,17747,18037
L1_SingleLooseIsoEG30er2p5,19.1,18.4,18.2,-3.5%,-1.6%,4.8%,20.2,19.2,-4.8%,19080,18443,18155,23759,20190,19223
L1_SingleIsoEG28er2p5,18.5,15.9,15.9,-17.0%,0.3%,14.2%,18.7,16.5,-11.9%,18546,15855,15905,21554,18724,16494
L1_SingleIsoEG28er2p1,14.0,12.3,12.3,-14.0%,0.1%,12.2%,16.0,13.6,-14.5%,14026,12306,12320,16451,15956,13646
L1_SingleIsoEG28er1p5,9.6,7.7,7.2,-25.0%,-6.0%,24.5%,10.1,8.1,-20.1%,9584,7667,7234,11798,10095,8069
L1_SingleIsoEG30er2p5,16.2,14.1,13.8,-14.9%,-1.9%,14.6%,16.8,14.0,-16.5%,16161,14064,13802,19064,16770,14002
L1_SingleIsoEG30er2p1,12.6,11.0,10.9,-13.8%,-1.6%,13.5%,14.2,11.6,-17.9%,12557,11036,10859,14819,14165,11629
L1_SingleIsoEG32er2p5,14.3,12.6,12.3,-13.6%,-2.1%,13.7%,15.6,12.7,-18.8%,14294,12583,12329,17227,15631,12697
L1_SingleIsoEG32er2p1,11.4,10.0,9.9,-13.0%,-1.6%,13.0%,13.5,10.6,-21.9%,11353,10043,9881,13390,13514,10561
