100 Games, 100 Rounds, 8 Players
[4, 1, 49, 5, 3, 1, 12, 4]
[1, 11, 38, 1, 0, 6, 2, 12]
[50, 8, 2, 2, 4, 1, 3, 3]
[19, 4, 19, 19, 9, 3, 4, 5]
[3, 0, 3, 12, 1, 32, 21, 4]
[3, 1, 12, 2, 0, 1, 52, 2]
[3, 6, 3, 54, 2, 2, 2, 2]
[2, 16, 20, 11, 10, 3, 5, 0]
[2, 22, 10, 1, 19, 7, 4, 7]
[3, 7, 16, 19, 4, 21, 8, 4]
[3, 1, 2, 9, 4, 3, 28, 32]
[8, 10, 3, 8, 2, 29, 9, 11]
[29, 6, 2, 0, 10, 0, 25, 5]
[1, 6, 16, 16, 26, 3, 11, 4]
[5, 5, 21, 3, 13, 33, 1, 1]
[5, 24, 22, 2, 3, 4, 2, 17]
[6, 1, 4, 29, 30, 2, 1, 2]
[1, 10, 6, 49, 0, 2, 6, 1]
[1, 1, 2, 3, 22, 5, 26, 17]
[0, 25, 5, 1, 7, 2, 22, 18]
[24, 4, 31, 2, 3, 2, 8, 9]
[4, 10, 10, 10, 1, 6, 21, 13]
[5, 3, 36, 16, 1, 5, 9, 3]
[19, 39, 0, 0, 3, 4, 6, 2]
[11, 13, 9, 11, 1, 21, 2, 5]
[34, 7, 6, 0, 3, 19, 2, 6]
[1, 1, 0, 1, 46, 5, 4, 20]
[2, 5, 2, 3, 32, 2, 11, 17]
[25, 2, 20, 0, 2, 7, 6, 9]
[10, 3, 3, 13, 6, 7, 1, 37]
[9, 2, 2, 35, 2, 16, 4, 13]
[19, 2, 1, 2, 2, 29, 4, 16]
[11, 3, 11, 23, 7, 6, 13, 7]
[0, 50, 1, 0, 5, 2, 1, 20]
[3, 4, 9, 0, 38, 2, 24, 2]
[13, 9, 3, 14, 29, 10, 2, 2]
[0, 38, 0, 1, 12, 2, 19, 5]
[19, 3, 0, 4, 0, 47, 2, 2]
[14, 1, 0, 5, 4, 13, 13, 26]
[53, 1, 16, 4, 4, 2, 4, 0]
[16, 49, 3, 2, 3, 3, 3, 4]
[2, 0, 0, 8, 32, 27, 7, 4]
[23, 3, 5, 2, 30, 4, 6, 2]
[2, 25, 1, 28, 0, 1, 2, 14]
[3, 21, 4, 11, 3, 0, 24, 10]
[23, 0, 4, 21, 3, 1, 16, 0]
[1, 1, 4, 16, 1, 5, 50, 2]
[25, 3, 4, 5, 2, 22, 11, 16]
[6, 1, 2, 2, 5, 4, 2, 57]
[49, 1, 2, 14, 5, 3, 3, 0]
